id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0hCB0YR03f6AmQaHbwWDe8,education,4,80,333893,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74
4CJVkjo5WpmUAKp3R44LNb,education,4,1,281147,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782
57bgtoPSgt236HzfBOd8kj,education,4,87,292880,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52
43bSKCMWHIuBsUVmQcDX1J,education,4,66,257000,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44
1Oo7XEqkrwifJn17aA0ocF,education,4,67,378733,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043
3NbAsIxDL0fVgNuCLD152P,education,4,67,176518,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668
54eZmuggBFJbV7k248bTTt,education,4,80,252240,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179
7hQJA50XrCWABAu5v6QZ4i,education,4,77,209413,0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271
2ZWlPOoWh0626oTaHrnl2a,education,3,83,249191,0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362
5GUYJTQap5F3RDQiCOJhrS,education,3,78,249668,0.572,0.209,8,-10.413,1,0.0313,0.765,0.0,0.356,0.446,80.069
3BQHpFgAp4l80e1XslIjNI,education,3,80,125667,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529
5RgFlk1fcClZd0Y4SGYhqH,education,3,76,201373,0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631
4bBrKDo8rchikwZOtmXbIH,education,3,70,227560,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016
761frfZtZ8I2g70UsjFfBK,education,3,60,233728,0.474,0.522,11,-7.513,1,0.0408,0.36,0.0,0.123,0.448,157.225
0lx2cLdOt3piJbcaXIV74f,education,3,82,214707,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112
18AXbzPzBS8Y3AkgSxzJPb,education,3,81,336453,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507
1nYzjrdVQ8RpF93M0jPFW7,education,3,82,227186,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
2K87XMYnUMqLcX3zvtAF4G,education,3,84,192120,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113
439tGS9rVbyTjj5SmneD56,education,3,61,331839,0.473,0.449,0,-8.63,1,0.0259,0.495,0.0,0.158,0.245,71.99
07MDkzWARZaLEdKxo6yArG,education,3,90,162680,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995
7urtwZEtOypb3r8HNi42dT,education,3,36,203600,0.584,0.888,11,-9.411,0,0.0349,0.192,4.23e-05,0.0931,0.672,93.211
1x8pFCRfBnDqckyB6mlZci,education,3,70,259115,0.797,0.447,8,-8.452,1,0.28,0.146,0.0,0.0877,0.645,79.003
6jB7cmxRuvf5QUxYl73q0o,education,3,66,272125,0.588,0.501,2,-12.167,1,0.0374,0.36,0.000273,0.101,0.4,104.987
16iRlyUMJVPqz62DlomMre,education,3,81,263500,0.513,0.38,11,-11.091,1,0.0336,0.12,0.0,0.0924,0.323,120.952
4u8RkgV6P4TLi89SmlUtv8,education,3,71,349713,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031
5sLGYJOhLP197nmkaRMMEH,education,3,68,267457,0.865,0.628,2,-7.614,0,0.143,0.594,0.0,0.2,0.433,116.009
0G5qmu4TsdUH19zdcbI9Ui,education,3,62,139180,0.817,0.297,1,-13.695,1,0.0553,0.722,0.0,0.101,0.443,100.031
1HNkqx9Ahdgi1Ixy2xkKkL,education,3,88,258987,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
2eAvDnpXP5W0cVtiI0PUxV,education,3,94,233720,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959
34YfLWuoxLEcvJQNxdI9P2,education,3,75,297002,0.644,0.315,6,-9.382,1,0.0339,0.706,0.00162,0.0962,0.356,60.001
5Hm2MJQ4ECvQmH5QWCMQrR,education,3,74,312320,0.519,0.246,5,-13.85,1,0.0396,0.774,2.35e-06,0.0946,0.108,90.121
5yY9lUy8nbvjM1Uyo1Uqoc,education,3,82,237735,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037
